1.0.128.0	1.0.255.255
1.1.128.0	1.1.255.255
1.2.128.0	1.2.255.255
1.4.128.0	1.4.255.255
1.10.128.0	1.10.255.255
1.20.0.0	1.20.255.255
1.46.0.0	1.47.255.255
1.179.128.0	1.179.255.255
14.207.0.0	14.207.255.255
27.55.0.0	27.55.255.255
27.130.0.0	27.130.255.255
27.131.128.0	27.131.191.255
27.145.0.0	27.145.255.255
27.254.0.0	27.254.255.255
49.0.64.0	49.0.127.255
49.48.0.0	49.49.255.255
49.228.0.0	49.229.255.255
49.230.0.0	49.230.255.255
49.231.0.0	49.231.31.255
49.231.32.0	49.231.63.255
49.231.64.0	49.231.127.255
49.231.128.0	49.231.255.255
49.237.0.0	49.237.255.255
58.8.0.0	58.9.255.255
58.10.0.0	58.11.255.255
58.64.0.0	58.64.127.255
58.97.0.0	58.97.127.255
58.136.0.0	58.136.255.255
58.137.0.0	58.137.255.255
58.147.0.0	58.147.127.255
58.181.128.0	58.181.255.255
61.7.128.0	61.7.255.255
61.19.0.0	61.19.63.255
61.19.64.0	61.19.127.255
61.19.128.0	61.19.255.255
61.47.0.0	61.47.127.255
61.90.0.0	61.90.255.255
61.91.0.0	61.91.63.255
61.91.64.0	61.91.127.255
61.91.128.0	61.91.159.255
61.91.160.0	61.91.191.255
61.91.192.0	61.91.255.255
101.51.0.0	101.51.255.255
101.108.0.0	101.109.255.255
106.0.128.0	106.0.255.255
110.34.128.0	110.34.255.255
110.49.0.0	110.49.255.255
110.77.128.0	110.77.255.255
110.78.0.0	110.78.255.255
110.164.0.0	110.164.255.255
110.168.0.0	110.171.255.255
111.84.0.0	111.84.255.255
111.223.32.0	111.223.63.255
112.121.128.0	112.121.159.255
112.142.0.0	112.143.255.255
113.53.0.0	113.53.255.255
114.109.0.0	114.109.255.255
114.128.0.0	114.128.255.255
114.131.0.0	114.131.255.255
115.31.128.0	115.31.191.255
115.67.0.0	115.67.255.255
115.87.0.0	115.87.255.255
116.58.224.0	116.58.255.255
116.68.144.0	116.68.159.255
117.47.0.0	117.47.255.255
117.121.208.0	117.121.223.255
118.172.0.0	118.175.255.255
119.31.0.0	119.31.127.255
119.42.64.0	119.42.127.255
119.46.0.0	119.46.255.255
119.59.96.0	119.59.127.255
119.63.64.0	119.63.95.255
119.76.0.0	119.76.255.255
119.160.208.0	119.160.223.255
122.154.0.0	122.155.255.255
123.242.128.0	123.242.191.255
124.40.224.0	124.40.239.255
124.120.0.0	124.121.255.255
124.122.0.0	124.122.255.255
124.157.128.0	124.157.255.255
125.24.0.0	125.25.255.255
125.26.0.0	125.27.255.255
125.213.224.0	125.213.255.255
140.149.0.0	140.149.255.255
157.179.0.0	157.179.255.255
158.108.0.0	158.108.255.255
161.200.0.0	161.200.255.255
161.246.0.0	161.246.255.255
164.115.0.0	164.115.255.255
165.209.0.0	165.209.255.255
168.120.0.0	168.120.255.255
171.4.0.0	171.7.255.255
171.96.0.0	171.103.255.255
180.128.0.0	180.128.255.255
180.180.0.0	180.180.255.255
180.183.0.0	180.183.255.255
180.214.192.0	180.214.223.255
180.222.144.0	180.222.159.255
182.17.0.0	182.17.255.255
182.50.80.0	182.50.95.255
182.52.0.0	182.53.255.255
182.93.128.0	182.93.255.255
182.232.0.0	182.232.255.255
183.88.0.0	183.89.255.255
202.5.80.0	202.5.95.255
202.6.16.0	202.6.31.255
202.28.16.0	202.28.31.255
